0;17;0;0;Green Plant;0;1;0;
1;18;0;0;Red Plant;0;1;0;
2;19;0;0;Red Flower;0;1;0;
3;40;0;0;Base Stone;0;1;0;
4;0;0;7;Bebering;1;1;1;
5;0;0;0;Poring;1;1;1;
6;0;0;13;Ohpring;1;2;1;
7;1;0;0;Lunatik;1;3;3;
8;1;0;2;R N Lunatik;1;4;2;
9;2;0;0;Spore;1;5;2;
10;11;1;5;Kingporing;1;5;2;
11;2;0;14;Spore;1;6;2;
12;3;0;20;Moving Flora;1;7;2;
13;1;0;3;Lunatik G.;1;7;3;
14;0;0;6;Poringring;1;8;2;
15;12;1;0;Eclipse;1;8;3;
16;12;0;16;Evil Lunatic;1;9;2;
17;2;0;4;Posion Spore;1;10;2;
18;8;0;0;Angelring;1;10;2;
19;4;2;0;Wolf;1;11;3;
20;3;0;15;Skull Flora;1;12;2;
21;5;2;0;Bigfoot;1;13;2;
22;4;2;0;Hungry Wolf;1;14;3;
23;2;0;8;Smoking Spore;1;15;2;
24;5;2;1;Pink Bear;1;16;2;
25;6;1;0;Orc Warrior;1;17;2;
26;4;2;0;Alpha Wolf;1;18;3;
27;6;1;9;Orc Berserker;1;19;2;
28;7;2;0;Wooden Golem;1;20;2;
29;5;2;12;Pirate Bear;1;21;2;
30;3;0;0;Flora;1;22;2;
31;5;2;11;Bearking;1;23;2;
32;15;1;0;High Orc;1;24;2;
33;7;2;8;Forest Golem;1;25;2;
34;20;0;0;Chonchon;1;26;3;
35;21;1;0;Sidewinger;1;27;3;
36;22;1;0;Muka;1;28;2;
37;23;1;0;Scorpion;1;29;3;
38;16;2;0;Orc Hero;1;30;3;
39;4;2;0;Wolf Legend;1;31;3;
40;22;1;4;Flower Muka;1;31;2;
41;5;2;19;Bigfoot Legend;1;32;2;
42;7;2;19;Golem Legend;1;32;2;
43;6;1;19;Orc Legend;1;33;3;
44;14;0;0;Chochomon;1;34;3;
45;15;1;23;High Orc Legend;1;35;3;
46;16;2;1;Jinohkeuhieoro;1;36;3;
47;10;2;19;Happy Baphomet;1;37;4;
48;9;0;0;Seukegolteu;1;38;2;
49;13;1;17;Bapoahul;1;38;3;
50;10;2;0;Baphomet;1;41;4;
51;0;0;0;Poring;2;2;2;
52;0;0;13;Ohpwaring;2;3;2;
53;1;0;0;Lunatic;2;4;3;
54;1;0;2;R N Lunatic;2;5;2;
55;2;0;0;Seupoah;2;6;2;
56;11;1;5;Ohpring;2;6;2;
57;2;0;14;Spore;2;7;2;
58;3;0;20;Moving Flora;2;8;2;
59;1;0;3;Lunatic Guard;2;8;3;
60;0;0;6;Poringring;2;9;2;
61;12;1;0;Eclipse;2;9;3;
62;12;0;16;Evil Lunatic;2;10;2;
63;2;0;4;Great Spore;2;11;2;
64;8;0;0;Angelring;2;11;2;
65;4;2;0;Wolf;2;12;3;
66;3;0;15;Skull Flora;2;13;2;
67;5;2;0;Bigfoot;2;14;2;
68;4;2;0;Hungry Wolf;2;15;3;
69;2;0;8;Smoking Spore;2;16;2;
70;5;2;1;Pink Bear;2;17;2;
71;6;1;0;Orc Warrior;2;18;2;
72;4;2;0;Alpha Wolf;2;19;3;
73;6;1;9;Orc Berserker;2;20;2;
74;7;2;0;Wooden Golem;2;21;2;
75;5;2;12;Pirate Bear;2;22;2;
76;3;0;0;Flora;2;23;2;
77;5;2;11;Bearking;2;24;2;
78;15;1;0;High Orc;2;25;3;
79;7;2;8;Forest Golem;2;26;2;
80;20;0;0;Chonchon;2;27;3;
81;21;1;0;Sidewinger;2;28;3;
82;22;1;0;Muka;2;29;2;
83;23;1;0;Scorpion;2;30;3;
84;16;2;0;Orc Hero;2;31;3;
85;4;2;0;Wolf Legend;2;32;3;
86;22;1;4;Flower Muka;2;32;2;
87;5;2;19;Bigfoot Legend;2;33;3;
88;7;2;19;Golem Legend;2;33;2;
