90;0;포링 펫;415;1;-1;16;1000;1;-1;00000;4;치코치코지역에 서식하며 인간에게 공격적이지 않은 매우 약한 젤리형의 생물, 초보자가 상대하기에 알맞다;
90;1;포링 펫;415;2;-1;16;2500;1;-1;29001;4;치코치코지역에 서식하며 인간에게 공격적이지 않은 매우 약한 젤리형의 생물, 초보자가 상대하기에 알맞다;
90;2;포링 펫;415;3;4;16;5000;1;-1;29002;4;치코치코지역에 서식하며 인간에게 공격적이지 않은 매우 약한 젤리형의 생물, 초보자가 상대하기에 알맞다;
90;3;드롭프스 펫;414;1;-1;5;1000;1;-1;00000;4;포링의 변종으로 사막에서도 잘 견디도록 진화되었다. 떨어진 아이템을 삼키는 습성이 있다;
90;4;드롭프스 펫;414;2;-1;5;2500;1;-1;31001;4;포링의 변종으로 사막에서도 잘 견디도록 진화되었다. 떨어진 아이템을 삼키는 습성이 있다;
90;5;드롭프스 펫;414;3;4;5;5000;1;-1;31002;4;포링의 변종으로 사막에서도 잘 견디도록 진화되었다. 떨어진 아이템을 삼키는 습성이 있다;
90;6;루나틱 펫;416;1;-1;9;1000;1;-1;00000;4;치코치코지역에 서식하며 털이 복실복실한 설치류의 일종이다. 당근을 좋아하며 털이 매우 부드럽고 폭신하다;
90;7;루나틱 펫;416;2;-1;9;2500;1;-1;30001;4;치코치코지역에 서식하며 털이 복실복실한 설치류의 일종이다. 당근을 좋아하며 털이 매우 부드럽고 폭신하다;
90;8;루나틱 펫;416;3;5;9;5000;1;-1;30002;4;치코치코지역에 서식하며 털이 복실복실한 설치류의 일종이다. 당근을 좋아하며 털이 매우 부드럽고 폭신하다;
90;9;스포아 펫;417;1;-1;19;1000;1;-1;00000;4;통통한 몸매를 자랑하는 버섯괴물. 통통튀며 움직이기 때문에 지나가는 모든 여행자들의 시선을 자극한다;
90;10;스포아 펫;417;2;-1;19;2500;1;-1;33001;4;통통한 몸매를 자랑하는 버섯괴물. 통통튀며 움직이기 때문에 지나가는 모든 여행자들의 시선을 자극한다;
90;11;스포아 펫;417;3;10;19;5000;1;-1;33002;4;통통한 몸매를 자랑하는 버섯괴물. 통통튀며 움직이기 때문에 지나가는 모든 여행자들의 시선을 자극한다;
90;12;이클립스 펫;418;1;-1;6;1000;1;-1;00000;4;루나틱의 일종이나 일반 루나틱에 비해 몸집이 크고 힘이 쎄다. 상당히 난폭하여 여행자들을 습격한다;
90;13;이클립스 펫;418;2;-1;6;2500;1;-1;32001;4;루나틱의 일종이나 일반 루나틱에 비해 몸집이 크고 힘이 쎄다. 상당히 난폭하여 여행자들을 습격한다;
90;14;이클립스 펫;418;3;6;6;5000;1;-1;32002;4;루나틱의 일종이나 일반 루나틱에 비해 몸집이 크고 힘이 쎄다. 상당히 난폭하여 여행자들을 습격한다;
